industry2_name,industry2_code,Unnamed: 0,amount,amplitude,chg,current,current_year_percent,dividend_yield,first_percent,float_market_capital,float_shares,followers,has_follow,income_cagr,issue_date_ts,lot_size,main_net_inflows,market_capital,name,net_profit_cagr,pb,pb_ttm,pcf,pe_ttm,percent,percent5m,ps,roe_ttm,symbol,tick_size,total_percent,total_shares,turnover_rate,type,volume,volume_ratio
半导体,S2701,0,1035286645.0,7.89,10.4,114.42,-4.86,0.096,43.9,4643163600,40580000,26464.0,False,22.38247992686493,1599753600000,100,112676604.0,45834363600,立昂微,37.63884565797382,23.64,23.64,227.4564315409639,186.869,10.0,0.0,27.70736319121767,14.07625368381627,SH605358,0.01,1841.46,400580000,22.7,11,9210444.0,2.16
半导体,S2701,1,1478652015.09,12.96,9.95,109.7,229.15,0.14,44.02,22483288592,204952494,23699.0,False,64.49390582016159,1499184000000,100,28650339.0,22483288592,富满电子,158.4899435767428,20.466,20.466,,144.689,9.97,-0.02,22.44608649784432,18.31404318925234,SZ300671,0.01,1792.88,204952494,6.91,11,14160035.0,1.28
半导体,S2701,2,998291353.57,15.13,1.43,15.77,53.26,0.165,97.75,5795530195,367503500,30835.0,False,21.45913471908352,1172764800000,100,27970768.0,5918228680,康强电子,29.91257001862564,5.951000000000001,5.951000000000001,50.78582068803561,59.603,9.97,0.0,3.389013423192275,10.46340975906284,SZ002119,0.01,189.47,375284000,18.47,11,67867565.0,2.45
半导体,S2701,3,1686993928.73,15.97,8.57,110.0,151.2,0.291,43.99,18986093390,172600849,28059.0,False,147.7224133403909,1499788800000,100,90390781.56,19834940620,国科微,,15.714,15.714,95.963397673426,185.393,8.45,0.0,18.1462021670326,8.956802431584954,SZ300672,0.01,1633.89,180317642,8.51,11,14692170.0,1.43
半导体,S2701,4,575682723.83,10.4,6.3,149.4,86.01,0.049,44.0,16912549564,113203143,23044.0,False,25.95238748608233,1487520000000,100,-4188074.0,17940511652,富瀚微,22.51380395446418,13.071,13.071,590.2135806393688,194.971,4.4,0.3,26.97555739873584,7.237947373007403,SZ300613,0.01,507.85,120083746,3.38,11,3828138.0,1.16
半导体,S2701,5,361361810.48,7.55,2.41,69.46,0.39,0.0,43.98,4828246146,69511174,7200.0,False,78.41942076452388,1592409600000,100,13370583.0,6946000000,帝科股份,8.702794941150005,8.03,8.03,,89.502,3.59,-0.04,3.439513947978485,11.90742596323628,SZ300842,0.01,233.14,100000000,7.42,11,5159372.0,0.88
半导体,S2701,6,686630370.88,6.35,5.79,230.99,31.55,0.144,44.0,50226324465,217439389,42070.0,False,62.23788368215648,1496678400000,100,22389220.84,54222526999,圣邦股份,90.62012243704271,34.374,34.374,133.8423279545406,162.402,2.57,-0.7000000000000001,38.79547330198308,24.44349400401879,SZ300661,0.01,2153.98,234739716,1.39,11,3027723.0,0.9
半导体,S2701,7,417485774.03,4.56,2.04,94.9,103.54,1.054,43.99,2367470300,24947000,17009.0,False,22.68062593317188,1608220800000,100,4160844.0,9467224000,中晶科技,55.23380644140337,12.105,12.105,100.8384449717642,86.392,2.2,-0.11,30.71499880880437,,SZ003026,0.01,475.83,99760000,17.74,11,4426740.0,0.93
半导体,S2701,8,1862940982.13,7.62,1.23,60.15,35.87,0.249,45.18,28397831114,472116893,54343.0,False,39.80879977000787,1390406400000,100,90492247.97999999,30820866556,扬杰科技,78.06899742181382,6.797,6.797,81.46726924837553,64.456,2.09,-0.05,10.03324585968565,13.37504046636639,SZ300373,0.01,1241.35,512400109,6.62,11,31258421.0,0.91
半导体,S2701,9,3044621416.0,4.79,5.74,301.74,30.57,0.104,44.02,237001669422,785449955,123918.0,False,49.26585909774914,1493827200000,100,80441128.0,262085559729,韦尔股份,252.0777665014558,21.057,21.057,66.96374083283675,79.376,1.94,-0.28,11.79543819746593,30.37175376115743,SH603501,0.01,2899.22,868580764,1.3,11,10184878.0,1.16
半导体,S2701,10,614725997.75,5.46,1.23,73.0,124.06,0.658,-3.68,20352627103,278803111,89000.0,False,26.61700460662932,1339516800000,100,-566882.0,20648354264,中颖电子,25.99281925631372,18.25,18.25,84.37973724440364,87.885,1.71,0.47,18.48534339051018,21.9617805018847,SZ300327,0.01,1427.32,282854168,3.1,11,8640218.0,0.9400000000000001
半导体,S2701,11,1622670850.14,4.79,4.53,273.88,51.53,0.04,78.79,125807432573,459352390,129016.0,False,40.3574868274581,1268668800000,100,-26113906.0,135971776959,北方华创,84.93067623255382,19.832,19.832,102.6589737220022,233.087,1.68,0.04,20.78593603982067,9.160145339302085,SZ002371,0.01,2142.16,496464791,1.31,11,6008836.0,0.72
半导体,S2701,12,255906316.0,7.27,0.1,7.8,-24.2,0.0,0.0,6867546933,880454735,104154.0,False,-32.54151889121049,908899200000,100,-32317877.0,6880446082,*ST大唐,,,,,,1.3,0.0,6.049768918905277,184.9594907934438,SH600198,0.01,-18.91,882108472,3.78,11,33276713.0,0.75
半导体,S2701,13,1927910681.08,7.72,0.73,81.87,156.27,0.489,43.99,21323669525,260457671,69591.0,False,28.33470384871779,1431619200000,100,-29834332.59999999,27099031976,全志科技,79.24358084449983,11.154,11.154,46.38695545915031,102.24,0.9,-0.34,15.52814432653242,11.37886056366612,SZ300458,0.01,1021.28,331000757,9.21,11,23997658.0,1.06
半导体,S2701,14,881707845.4,8.77,0.07,15.47,88.89,0.0,79.78,8431991181,545054375,61852.0,False,-8.18152441262059,1272556800000,100,-12427857.0,8626304050,国民技术,,7.933,7.933,,1281.572,0.45,0.19,21.68875664043493,0.5964040174187111,SZ300077,0.01,-50.5,557615000,10.29,11,56080176.0,0.85
半导体,S2701,15,2008524863.59,4.6,-2.47,513.0,62.06,0.108,44.01,98036640306,191104562,85821.0,False,135.5987642241724,1560787200000,100,-56476449.3,171116679627,卓胜微,177.7802426108626,27.911,27.911,137.3307189413025,121.072,-0.48,0.12,48.5535483059076,35.37858008969962,SZ300782,0.01,3845.85,333560779,2.05,11,3918228.0,1.22
半导体,S2701,16,1881189773.64,4.43,-0.19,23.52,-6.7,0.111,256.01,31254238314,1328836663,101571.0,False,31.01827213087398,1187193600000,100,-47306418.0,31258948547,通富微电,,3.218,3.218,13.99232127036288,61.752,-0.8,-0.3,2.633369469693753,6.399688858666526,SZ002156,0.01,135.13,1329036928,5.96,11,79181729.0,1.05
半导体,S2701,17,564931527.0,4.82,-1.42,163.88,17.63,0.181,44.0,5804629600,35420000,21802.0,False,35.33367474345428,1601222400000,100,-21285456.2,23218518400,新洁能,44.76505017745585,18.794,18.794,140.8465316932448,122.144,-0.86,0.47,21.08592561163195,,SH605111,0.01,702.25,141680000,9.7,11,3434115.0,0.56
半导体,S2701,18,1032462113.96,3.95,-0.35,36.85,27.57,0.289,44.01,23612874444,640783567,49420.0,False,64.64984584189268,1489420800000,100,-17630128.0,27139925431,捷捷微电,60.10324030534584,10.439,10.439,97.08957460434084,79.365,-0.9400000000000001,-0.05,22.20595902325139,13.99133635467367,SZ300623,0.01,682.71,736497298,4.39,11,28140254.0,0.66
半导体,S2701,19,1215274083.6,3.08,-1.84,149.66,11.97,0.09,46.44,90816377091,606817968,239506.0,False,25.17331999085883,1117987200000,100,-34580594.0,90816377091,紫光国微,58.0334523992297,17.183,17.183,148.3750783630097,96.607,-1.21,0.27,25.39120737238085,19.45321586159201,SZ002049,0.01,10207.87,606817968,1.35,11,8167575.0,0.8200000000000001
半导体,S2701,20,3086675096.0,8.49,-0.4,30.1,115.81,0.432,0.0,21095950534,700862144,71955.0,False,45.79212646708306,906566400000,100,-163240208.08,21455740951,上海贝岭,128.0661902558533,6.168,6.168,363.8695187578064,34.355,-1.31,0.6000000000000001,13.705649670966,19.15874858627538,SH600171,0.01,420.13,712815314,14.77,11,103543819.0,0.81
半导体,S2701,21,66187514.0,3.87,-0.24,15.25,37.72,0.328,44.01,3068806300,201233200,7838.0,False,9.430889013952392,1499270400000,100,-4767287.4,3068806300,睿能科技,99.79986903067855,2.894,2.894,37.01440974188548,58.523,-1.55,0.0,1.824751573570371,4.984430048170039,SH603933,0.01,6.85,201233200,2.15,11,4335059.0,0.6900000000000001
半导体,S2701,22,652050000.0,3.31,-2.25,128.06,-17.38,0.351,43.98,58168286697,454226821,122493.0,False,23.59666507871634,1476633600000,100,-28739205.0,58638341812,汇顶科技,19.56215001503148,7.11,7.11,36.49788518918621,36.398,-1.73,0.16,8.67983082812625,21.55744679250219,SH603160,0.01,462.65,457897406,1.11,11,5055912.0,0.71
半导体,S2701,23,575465837.53,3.91,-1.37,77.93,30.03,0.231,8.83,23017383213,295359723,47385.0,False,43.78319870085016,1274716800000,100,13181035.0,36070173489,雅克科技,48.21629218358172,7.479,7.479,159.4177899005707,86.154,-1.73,-0.22,13.25042065782959,8.961518788318712,SZ002409,0.01,705.2,462853503,2.51,11,7427147.0,0.78
半导体,S2701,24,801302302.0,4.55,-1.08,55.38,3.66,0.354,44.0,21369008984,385861484,96592.0,False,49.80243465097949,1391961600000,100,-26742693.0,22599343912,晶方科技,122.5385872255462,6.47,6.47,41.75526275515976,50.548,-1.91,0.11,18.19966988873251,16.13777713494581,SH603005,0.01,314.59,408077716,3.75,11,14474433.0,0.68
半导体,S2701,25,2477956367.0,3.98,-3.83,174.75,24.27,0.229,43.98,107484590415,615076340,165308.0,False,58.57279868165222,1471449600000,100,-65571494.0,116061099007,兆易创新,57.43022293699585,10.502,10.502,74.16404812141408,114.449,-2.14,0.06,21.91741764380135,12.29986815347942,SH603986,0.01,3381.84,664155073,2.3,11,14128090.0,0.61
