industry2_name,industry2_code,Unnamed: 0,symbol,net_profit_cagr,ps,type,percent,has_follow,tick_size,pb_ttm,float_shares,current,amplitude,pcf,current_year_percent,float_market_capital,market_capital,dividend_yield,lot_size,roe_ttm,total_percent,percent5m,income_cagr,amount,chg,issue_date_ts,main_net_inflows,volume,volume_ratio,pb,followers,turnover_rate,first_percent,name,pe_ttm,total_shares
半导体,S2701,0,SH605358,37.63884565797382,27.7074,11,10.0,False,0.01,24.1933,40580000,114.42,7.89,227.4564,-4.86,4643163600,45834363600,0.096,100,14.07625368381627,1841.46,0.0,22.38247992686493,1035286645.0,10.4,1599753600000,112676604.0,9210444.0,2.16,23.64,26493.0,22.7,43.9,立昂微,186.869,400580000
半导体,S2701,1,SZ300671,158.4899435767428,22.4461,11,9.97,False,0.01,19.3577,204952494,109.7,12.96,,229.15,22483288592,22483288592,0.14,100,18.31404318925234,1792.88,-0.02,64.49390582016159,1478652015.09,9.95,1499184000000,28650339.0,14160035.0,1.28,20.466,23732.0,6.91,44.02,富满电子,144.689,204952494
半导体,S2701,2,SZ002119,29.91257001862564,3.389,11,9.97,False,0.01,5.9544,367503500,15.77,15.13,50.7858,53.26,5795530195,5918228680,0.165,100,10.46340975906284,189.47,0.0,21.45913471908352,998291353.57,1.43,1172764800000,27970768.0,67867565.0,2.45,5.951000000000001,30867.0,18.47,97.75,康强电子,59.603,375284000
半导体,S2701,3,SZ300672,,18.1462,11,8.45,False,0.01,15.7227,172600849,110.0,15.97,95.96340000000001,151.2,18986093390,19834940620,0.291,100,8.956802431584954,1633.89,0.0,147.7224133403909,1686993928.73,8.57,1499788800000,90390781.56,14692170.0,1.43,15.714,28078.0,8.51,43.99,国科微,185.393,180317642
半导体,S2701,4,SZ300613,22.51380395446418,26.9756,11,4.4,False,0.01,13.1545,113203143,149.4,10.4,590.2136,86.01,16912549564,17940511652,0.049,100,7.237947373007403,507.85,0.3,25.95238748608233,575682723.83,6.3,1487520000000,-4188074.0,3828138.0,1.16,13.071,23048.0,3.38,44.0,富瀚微,194.971,120083746
半导体,S2701,5,SZ300842,8.702794941150005,3.4395,11,3.59,False,0.01,7.7358,69511174,69.46,7.55,,0.39,4828246146,6946000000,0.0,100,11.90742596323628,233.14,-0.04,78.41942076452388,361361810.48,2.41,1592409600000,13370583.0,5159372.0,0.88,8.03,7213.0,7.42,43.98,帝科股份,89.502,100000000
半导体,S2701,6,SZ300661,90.62012243704271,38.7955,11,2.57,False,0.01,29.5515,217439389,230.99,6.35,133.8423,31.55,50226324465,54222526999,0.144,100,24.44349400401879,2153.98,-0.7000000000000001,62.23788368215648,686630370.88,5.79,1496678400000,22389220.84,3027723.0,0.9,34.374,42074.0,1.39,44.0,圣邦股份,162.402,234739716
半导体,S2701,7,SZ003026,55.23380644140337,30.715,11,2.2,False,0.01,13.8676,24947000,94.9,4.56,100.8384,103.54,2367470300,9467224000,1.054,100,,475.83,-0.11,22.68062593317188,417485774.03,2.04,1608220800000,4160844.0,4426740.0,0.93,12.105,17015.0,17.74,43.99,中晶科技,86.392,99760000
半导体,S2701,8,SZ300373,78.06899742181382,10.0332,11,2.09,False,0.01,6.9111,472116893,60.15,7.62,81.4673,35.87,28397831114,30820866556,0.249,100,13.37504046636639,1241.35,-0.05,39.80879977000787,1862940982.13,1.23,1390406400000,90492247.97999999,31258421.0,0.91,6.797,54365.0,6.62,45.18,扬杰科技,64.456,512400109
半导体,S2701,9,SH603501,252.0777665014558,11.7954,11,1.94,False,0.01,21.0653,785449955,301.74,4.79,66.9637,30.57,237001669422,262085559729,0.104,100,30.37175376115743,2899.22,-0.28,49.26585909774914,3044621416.0,5.74,1493827200000,80441128.0,10184878.0,1.16,21.057,123939.0,1.3,44.02,韦尔股份,79.376,868580764
半导体,S2701,10,SZ300327,25.99281925631372,18.4853,11,1.71,False,0.01,18.2624,278803111,73.0,5.46,84.3797,124.06,20352627103,20648354264,0.658,100,21.9617805018847,1427.32,0.47,26.61700460662932,614725997.75,1.23,1339516800000,-566882.0,8640218.0,0.9400000000000001,18.25,89031.0,3.1,-3.68,中颖电子,87.885,282854168
